SQL_FULLTEXT                                                                                                                                                                                                                                                   |EXECUTIONS|LAST_ACTIVE_TIME       |AVG_EXECUTION_TIME_SECONDS|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+-----------------------+--------------------------+
select filmactors0_.actor_id as actor_id1_7_0_, filmactors0_.film_id as film_id2_7_0_, filmactors0_.actor_id as actor_id1_7_1_, filmactors0_.film_id as film_id2_7_1_, filmactors0_.last_update as last_update3_7_1_, film1_.film_id as film_id1_6_2_, film1_.d|       405|2023-10-18 20:37:27.000|                  0.270978|
select actor0_.actor_id as actor_id1_0_0_, actor0_.first_name as first_name2_0_0_, actor0_.last_name as last_name3_0_0_, actor0_.last_update as last_update4_0_0_ from actor actor0_ where actor0_.actor_id=:1                                                 |       212|2023-10-18 18:17:13.000|                  0.023754|
select address0_.address_id as address_1_2_0_, address0_.address as address2_2_0_, address0_.address2 as address3_2_0_, address0_.city_id as city_id8_2_0_, address0_.district as district4_2_0_, address0_.last_update as last_upd5_2_0_, address0_.phone as p|       126|2023-10-17 20:50:03.000|                  0.028036|
select address0_.address_id as address_1_2_0_, address0_.address as address2_2_0_, address0_.address2 as address3_2_0_, address0_.city_id as city_id8_2_0_, address0_.district as district4_2_0_, address0_.last_update as last_upd5_2_0_, address0_.phone as p|        94|2023-10-17 20:43:15.000|                  0.015605|
SELECT SYS_CONTEXT('USERENV', 'CURRENT_SCHEMA') FROM DUAL                                                                                                                                                                                                      |        92|2023-10-18 20:36:31.000|                  0.019697|
select country0_.country_id as country_1_5_0_, country0_.country as country2_5_0_, country0_.last_update as last_upd3_5_0_ from country country0_ where country0_.country_id=:1                                                                                |        74|2023-10-17 21:58:11.000|                  0.008459|
[CLOB]                                                                                                                                                                                                                                                         |        70|2023-10-18 20:36:31.000|                  0.032565|
delete from film_actor where actor_id=:1  and film_id=:2                                                                                                                                                                                                       |        63|2023-10-18 20:18:10.000|                   0.03098|
delete from rental where rental_id=:1                                                                                                                                                                                                                          |        46|2023-10-18 20:18:13.000|                  0.159897|
select film0_.film_id as film_id1_2_, film0_.description as description2_2_, film0_.language_id as language_id12_2_, film0_.original_language_id as original_language13_2_, film0_.last_update as last_update3_2_, film0_.length as length4_2_, film0_.rating a|        35|2023-10-18 18:23:17.000|                  0.437992|
select filmactors0_.film_id as film_id2_3_0_, filmactors0_.actor_id as actor_id1_3_0_, filmactors0_.actor_id as actor_id1_3_1_, filmactors0_.film_id as film_id2_3_1_, filmactors0_.last_update as last_update3_3_1_ from film_actor filmactors0_ where filmact|        26|2023-10-18 19:54:42.000|                  0.012458|
SELECT  DISTINCT OWNER,OBJECT_NAME,OBJECT_TYPE FROM (¶SELECT OWNER,OBJECT_NAME,OBJECT_TYPE FROM ALL_OBJECTS WHERE OBJECT_TYPE IN ('TABLE','VIEW','PACKAGE','PROCEDURE','FUNCTION','SYNONYM') AND UPPER(OBJECT_NAME) LIKE :1  )¶ORDER BY OBJECT_NAME            |        23|2023-10-19 00:26:06.000|                  0.382334|
select language0_.language_id as language_id1_6_, language0_.last_update as last_update2_6_, language0_.name as name3_6_ from language language0_ where language0_.language_id=:1                                                                              |        23|2023-10-18 19:54:41.000|                  0.006034|
select film0_.film_id as film_id1_2_0_, film0_.description as description2_2_0_, film0_.language_id as language_id12_2_0_, film0_.original_language_id as original_language13_2_0_, film0_.last_update as last_update3_2_0_, film0_.length as length4_2_0_, fil|        23|2023-10-18 19:54:42.000|                  0.009485|
select language0_.language_id as language_id1_6_0_, language0_.last_update as last_update2_6_0_, language0_.name as name3_6_0_ from language language0_ where language0_.language_id=:1                                                                        |        21|2023-10-18 18:17:12.000|                  0.004033|
select city0_.city_id as city_id1_4_0_, city0_.city as city2_4_0_, city0_.country_id as country_4_4_0_, city0_.last_update as last_upd3_4_0_ from city city0_ where city0_.city_id=:1                                                                          |        21|2023-10-17 21:05:01.000|                  0.010022|
select address0_.address_id as address_1_2_0_, address0_.address as address2_2_0_, address0_.address2 as address3_2_0_, address0_.city_id as city_id8_2_0_, address0_.district as district4_2_0_, address0_.last_update as last_upd5_2_0_, address0_.phone as p|        20|2023-10-17 19:56:34.000|                  0.009308|
delete from inventory where inventory_id=:1                                                                                                                                                                                                                    |        18|2023-10-18 20:18:13.000|                  0.020578|
update film set title=:1  where film_id=:2                                                                                                                                                                                                                     |        14|2023-10-18 20:36:33.000|                  0.013848|
select actor0_.actor_id as actor_id1_0_0_, actor0_.first_name as first_name2_0_0_, actor0_.last_name as last_name3_0_0_, actor0_.last_update as last_update4_0_0_, filmactors1_.actor_id as actor_id1_7_1_, filmactors1_.film_id as film_id2_7_1_, filmactors1_|        13|2023-10-18 20:37:36.000|                  0.063765|
insert into film (description, language_id, original_language_id, length, rating, release_year, rental_duration, rental_rate, replacement_cost, special_features, title, film_id) values (:1 , :2 , :3 , :4 , :5 , :6 , :7 , :8 , :9 , :10 , :11 , :12 )       |        13|2023-10-18 20:36:33.000|                  0.023068|
select * from ( select customer0_.customer_id as customer1_6_, customer0_.active as active2_6_, customer0_.address_id as address_8_6_, customer0_.create_date as create_d3_6_, customer0_.email as email4_6_, customer0_.first_name as first_na5_6_, customer0_|        13|2023-10-17 20:49:50.000|                  0.006528|
select count(customer0_.customer_id) as col_0_0_ from customer customer0_                                                                                                                                                                                      |        13|2023-10-17 20:49:51.000|                   0.00694|
select actor0_.actor_id as actor_id1_0_0_, actor0_.first_name as first_name2_0_0_, actor0_.last_name as last_name3_0_0_, actor0_.last_update as last_update4_0_0_, filmactors1_.actor_id as actor_id1_7_1_, filmactors1_.film_id as film_id2_7_1_, filmactors1_|        13|2023-10-18 20:37:36.000|                  0.063765|
select actor0_.actor_id as actor_id1_0_0_, actor0_.first_name as first_name2_0_0_, actor0_.last_name as last_name3_0_0_, actor0_.last_update as last_update4_0_0_, filmactors1_.actor_id as actor_id1_7_1_, filmactors1_.film_id as film_id2_7_1_, filmactors1_|        13|2023-10-18 20:37:36.000|                  0.063765|
select actor0_.actor_id as actor_id1_0_0_, actor0_.first_name as first_name2_0_0_, actor0_.last_name as last_name3_0_0_, actor0_.last_update as last_update4_0_0_, filmactors1_.actor_id as actor_id1_7_1_, filmactors1_.film_id as film_id2_7_1_, filmactors1_|        13|2023-10-18 20:37:36.000|                  0.063765|
select actor0_.actor_id as actor_id1_0_0_, actor0_.first_name as first_name2_0_0_, actor0_.last_name as last_name3_0_0_, actor0_.last_update as last_update4_0_0_, filmactors1_.actor_id as actor_id1_7_1_, filmactors1_.film_id as film_id2_7_1_, filmactors1_|        13|2023-10-18 20:37:36.000|                  0.063765|
select actor0_.actor_id as actor_id1_0_0_, actor0_.first_name as first_name2_0_0_, actor0_.last_name as last_name3_0_0_, actor0_.last_update as last_update4_0_0_, filmactors1_.actor_id as actor_id1_7_1_, filmactors1_.film_id as film_id2_7_1_, filmactors1_|        13|2023-10-18 20:37:36.000|                  0.063765|
select actor0_.actor_id as actor_id1_0_0_, actor0_.first_name as first_name2_0_0_, actor0_.last_name as last_name3_0_0_, actor0_.last_update as last_update4_0_0_, filmactors1_.actor_id as actor_id1_7_1_, filmactors1_.film_id as film_id2_7_1_, filmactors1_|        13|2023-10-18 20:37:36.000|                  0.063765|
select rentals0_.inventory_id as inventory_id6_12_0_, rentals0_.rental_id as rental_id1_12_0_, rentals0_.rental... (25519 total length)
